,SLNO,Candidate.Ref,DOJ.Extended,Duration.to.accept.offer,Notice.period,Offered.band,Pecent.hike.expected.in.CTC,Percent.hike.offered.in.CTC,Percent.difference.CTC,Joining.Bonus,Candidate.relocate.actual,Gender,Candidate.Source,Rex.in.Yrs,LOB,Location,Age,Status
2542,3575,2386852,Yes,40,30,E1,25.0,25.0,0.0,No,No,Male,Direct,5,ETS,Bangalore,28,0
2543,3576,2386856,No,1,60,E3,32.35,32.35,0.0,No,No,Male,Agency,7,INFRA,Noida,32,0
2544,3578,2386929,No,33,60,E1,56.25,56.25,0.0,No,No,Male,Direct,3,ERS,Chennai,28,0
2545,3579,2386967,Yes,1,30,E1,42.86,42.86,0.0,No,No,Female,Direct,1,INFRA,Noida,24,0
2546,3580,2386973,No,55,60,E3,18.18,18.18,0.0,No,No,Male,Agency,5,INFRA,Noida,31,0
2547,3581,2386980,No,1,30,E1,42.86,42.86,0.0,No,No,Female,Direct,6,BFSI,Chennai,30,0
2548,3582,2386995,No,9,30,E2,16.13,16.13,0.0,No,No,Male,Agency,6,ERS,Bangalore,29,0
2549,3583,2387025,Yes,37,30,E2,53.37,53.37,0.0,No,No,Male,Direct,6,BFSI,Bangalore,33,0
2550,3586,2390120,Yes,12,30,E1,21.43,21.43,0.0,No,No,Male,Direct,3,BFSI,Bangalore,29,0
2552,3588,2394288,Yes,3,30,E1,50.94,32.08,-12.5,No,No,Male,Agency,5,BFSI,Bangalore,31,0
2553,3589,2394553,No,0,60,E2,22.01,22.01,0.0,Yes,No,Male,Agency,9,INFRA,Noida,30,0
2554,3591,2394653,No,29,30,E1,31.58,31.58,0.0,No,No,Male,Direct,3,BFSI,Bangalore,29,0
2555,3592,2394670,No,34,30,E1,30.95,30.95,0.0,No,No,Male,Agency,3,BFSI,Bangalore,28,0
2556,3593,2394673,No,28,30,E1,31.58,31.58,0.0,No,No,Male,Direct,3,BFSI,Bangalore,27,0
2557,3594,2394687,Yes,88,30,E1,19.05,23.81,4.0,No,No,Male,Direct,3,BFSI,Bangalore,26,0
2558,3595,2394689,No,34,30,E1,25.0,25.0,0.0,No,No,Male,Agency,3,BFSI,Bangalore,28,0
2559,3596,2394694,Yes,38,30,E1,19.05,19.05,0.0,No,No,Male,Direct,3,BFSI,Bangalore,27,0
2560,3597,2394695,Yes,33,60,E2,16.67,16.67,0.0,No,No,Male,Direct,10,AXON,Noida,32,0
2561,3598,2394700,Yes,52,30,E2,35.42,35.42,0.0,No,No,Male,Direct,6,ETS,Bangalore,29,0
2562,3600,2394715,Yes,9,30,E1,34.62,34.62,0.0,No,No,Male,Direct,3,INFRA,Others,30,0
2563,3601,2394747,Yes,3,30,E2,41.51,41.51,0.0,No,No,Male,Direct,5,CSMP,Chennai,35,0
2564,3603,2394780,No,34,30,E1,18.42,21.05,2.22,No,No,Male,Agency,3,BFSI,Bangalore,28,0
2565,3604,2394781,No,94,90,E2,53.85,61.54,5.0,No,Yes,Female,Direct,6,BFSI,Bangalore,37,0
2566,3605,2394785,Yes,40,30,E1,30.95,30.95,0.0,No,No,Male,Direct,4,BFSI,Bangalore,28,0
2567,3606,2394792,Yes,5,30,E1,42.86,42.86,0.0,No,No,Male,Agency,3,BFSI,Bangalore,33,0
2568,3607,2394795,Yes,75,30,E2,25.0,16.11,-7.11,No,No,Male,Direct,7,BFSI,Bangalore,39,0
2569,3608,2394798,No,6,30,E1,66.67,52.08,-8.75,No,No,Male,Direct,4,CSMP,Hyderabad,29,0
2570,3609,2394809,No,5,30,E1,75.0,75.0,0.0,No,No,Female,Agency,3,BFSI,Bangalore,26,0
2571,3610,2394822,No,4,30,E1,52.17,52.17,0.0,No,No,Male,Direct,4,CSMP,Hyderabad,30,0
2572,3612,2394861,Yes,45,60,E1,20.0,20.0,0.0,No,No,Male,Direct,3,BFSI,Bangalore,28,0
2573,3613,2394867,No,11,30,E1,25.0,-6.25,-25.0,No,No,Male,Direct,3,ERS,Chennai,30,0
2574,3615,2394891,Yes,10,30,E1,30.95,30.95,0.0,No,No,Female,Agency,4,BFSI,Bangalore,32,0
2575,3616,2394901,Yes,35,30,E1,40.63,40.63,0.0,No,No,Male,Agency,3,BFSI,Bangalore,25,0
2576,3617,2394915,No,7,30,E1,11.11,6.67,-4.0,No,No,Male,Direct,6,BFSI,Gurgaon,29,0
2577,3618,2394920,No,5,30,E1,62.16,35.14,-16.67,No,No,Male,Direct,3,BFSI,Bangalore,25,0
2579,3621,2394927,Yes,50,30,E1,23.81,21.43,-1.92,No,No,Male,Agency,5,BFSI,Bangalore,33,0
2580,3622,2394935,No,31,30,E1,11.11,11.11,0.0,No,No,Male,Agency,3,BFSI,Bangalore,29,0
2581,3623,2394937,No,1,30,E1,38.78,26.53,-8.82,No,No,Female,Employee Referral,3,ERS,Bangalore,27,0
2582,3624,2395375,Yes,4,30,E1,28.97,19.05,-7.69,No,No,Male,Direct,3,BFSI,Bangalore,28,0
2583,3626,2395381,No,34,30,E1,31.58,20.61,-8.33,No,No,Male,Agency,4,BFSI,Bangalore,27,0
2584,3627,2395385,No,24,30,E1,18.52,18.52,0.0,No,No,Female,Direct,5,ETS,Hyderabad,29,0
2585,3628,2395399,Yes,3,30,E1,22.09,16.28,-4.76,No,No,Female,Direct,3,BFSI,Bangalore,28,0
2586,3629,2395406,Yes,34,30,E1,7.53,20.97,12.5,No,No,Male,Agency,4,BFSI,Bangalore,33,0
2587,3630,2395407,Yes,46,30,E1,30.95,30.95,0.0,No,No,Male,Employee Referral,3,ETS,Chennai,27,0
2589,3632,2395473,No,29,30,E1,25.0,19.57,-4.35,No,No,Male,Direct,3,BFSI,Bangalore,29,0
2590,3633,2395590,Yes,43,30,E1,23.46,23.46,0.0,No,No,Male,Direct,4,BFSI,Bangalore,33,0
2591,3634,2395616,No,1,30,E3,-6.9,-6.9,0.0,No,No,Male,Direct,5,INFRA,Noida,35,0
2592,3635,2395684,Yes,109,90,E1,64.71,42.35,-13.57,No,No,Male,Employee Referral,3,BFSI,Bangalore,26,0
2593,3636,2396019,No,2,30,E1,100.0,33.33,-33.33,No,No,Male,Direct,3,ERS,Hyderabad,27,0
2594,3637,2396082,Yes,37,30,E2,34.67,24.31,-7.69,No,No,Male,Employee Referral,8,ERS,Bangalore,31,0
2595,3638,2397174,No,1,45,E1,27.27,27.27,0.0,No,No,Male,Direct,6,Healthcare,Noida,33,0
2597,3640,2397258,Yes,1,30,E1,58.86,58.86,0.0,No,No,Female,Direct,3,MMS,Chennai,26,0
2598,3641,2397905,Yes,9,30,E1,129.89,86.78,-18.75,No,No,Male,Direct,3,ERS,Hyderabad,28,0
2599,3642,2397999,Yes,35,30,E2,84.62,38.46,-25.0,No,No,Male,Direct,7,BFSI,Bangalore,34,0
2600,3643,2398284,Yes,6,30,E1,57.89,31.58,-16.67,No,No,Female,Direct,3,BFSI,Bangalore,28,0
2601,3644,2398663,No,9,30,E1,16.67,24.5,6.71,No,No,Male,Direct,4,ETS,Hyderabad,30,0
2602,3645,2398705,Yes,3,30,E1,31.94,31.94,0.0,No,No,Male,Direct,3,BFSI,Bangalore,28,0
2603,3646,2398707,No,2,30,E1,33.33,33.33,0.0,No,No,Male,Direct,2,INFRA,Kolkata,27,0
2604,3647,2398739,No,0,30,E2,66.67,200.0,80.0,No,No,Male,Employee Referral,4,INFRA,Noida,30,0
2606,3649,2398786,Yes,1,60,E2,46.34,31.71,-10.0,No,No,Male,Direct,6,ERS,Chennai,30,0
2610,3654,2399352,Yes,5,60,E3,70.21,43.32,-15.8,No,No,Male,Agency,9,INFRA,Chennai,33,0
2611,3655,2399446,No,1,30,E1,23.81,21.43,-1.92,No,No,Male,Direct,3,BFSI,Bangalore,27,0
2612,3656,2399474,Yes,29,60,E3,22.73,22.47,-0.21,No,No,Male,Direct,8,INFRA,Noida,36,0
2613,3657,2399479,No,60,30,E2,26.92,26.92,0.0,No,No,Male,Agency,5,BFSI,Bangalore,31,0
2614,3658,2399480,Yes,53,60,E1,19.72,16.2,-2.94,No,No,Male,Direct,4,ETS,Hyderabad,28,0
2616,3660,2399505,No,1,30,E2,33.11,24.79,-6.25,No,No,Female,Direct,7,BFSI,Bangalore,33,0
2617,3661,2399506,No,1,30,E1,4.17,4.17,0.0,No,No,Female,Agency,5,ETS,Bangalore,32,0
2619,3664,2399578,No,0,30,E1,34.62,19.23,-11.43,No,No,Male,Direct,5,ETS,Hyderabad,28,0
2620,3665,2399591,Yes,94,60,E2,45.35,27.91,-12.0,No,No,Male,Employee Referral,6,ETS,Noida,30,0
2621,3666,2399596,No,3,30,E3,12.92,21.71,7.78,No,No,Male,Direct,6,INFRA,Noida,30,0
2622,3667,2399614,Yes,66,60,E2,38.89,33.33,-4.0,No,No,Male,Agency,8,CSMP,Chennai,33,0
2623,3668,2399616,Yes,20,30,E1,38.89,45.83,5.0,No,No,Male,Direct,4,ERS,Chennai,27,0
2624,3669,2399643,No,2,45,E1,50.0,43.79,-4.14,No,No,Male,Direct,2,ERS,Chennai,24,0
2625,3670,2399646,No,31,30,E1,14.81,14.81,0.0,No,No,Male,Direct,4,BFSI,Bangalore,29,0
2626,3671,2399678,Yes,25,30,E1,38.89,38.89,0.0,No,No,Male,Direct,3,BFSI,Bangalore,28,0
2627,3672,2399682,Yes,2,30,E1,30.68,30.68,0.0,No,No,Male,Direct,3,ETS,Chennai,29,0
2628,3673,2399692,No,6,30,E1,38.89,52.78,10.0,No,No,Male,Direct,4,BFSI,Bangalore,29,0
2629,3674,2399704,Yes,3,60,E1,49.06,49.06,0.0,No,No,Male,Direct,3,INFRA,Noida,29,0
2631,3676,2399719,Yes,34,30,E1,22.22,26.67,3.64,No,No,Male,Direct,4,ETS,Hyderabad,27,0
2632,3679,2399747,Yes,4,30,E1,36.6,36.6,0.0,No,No,Male,Direct,3,ETS,Chennai,28,0
2633,3681,2399778,Yes,95,30,E2,29.63,20.37,-7.14,No,No,Male,Direct,7,BFSI,Bangalore,34,0
2634,3684,2399856,No,2,60,E2,38.16,34.21,-2.86,No,No,Male,Direct,7,INFRA,Bangalore,29,0
2635,3685,2399911,No,2,0,E1,51.52,38.89,-8.33,No,No,Male,Direct,4,BFSI,Gurgaon,33,0
2636,3686,2399957,No,0,30,E1,75.68,48.65,-15.38,No,No,Male,Direct,3,ETS,Noida,27,0
2637,3687,2399959,No,1,30,E2,44.44,4.44,-27.69,No,No,Male,Direct,4,INFRA,Chennai,27,0
2638,3688,2399968,Yes,1,30,E2,22.22,16.67,-4.55,No,No,Male,Direct,5,AXON,Bangalore,47,0
2639,3689,2399980,No,2,60,E3,26.88,20.54,-5.0,No,No,Male,Direct,16,AXON,Noida,39,0
2640,3690,2399986,Yes,12,90,E2,61.29,61.29,0.0,No,No,Male,Agency,6,ETS,Chennai,29,0
2642,3693,2400375,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,4,INFRA,Noida,33,0
2644,3696,2401135,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,4,INFRA,Bangalore,29,0
2645,3697,2401190,Yes,15,90,E2,22.22,15.56,-5.45,No,No,Male,Direct,7,AXON,Kolkata,31,0
2646,3699,2402862,Yes,44,30,E1,7.64,7.64,0.0,No,No,Female,Direct,2,INFRA,Noida,26,0
2647,3700,2403665,Yes,1,30,E1,66.67,76.67,6.0,No,No,Male,Direct,3,CSMP,Chennai,25,0
2649,3702,2403943,Yes,17,30,E2,29.41,15.27,-10.93,No,No,Male,Employee Referral,6,INFRA,Chennai,32,0
2650,3704,2404033,Yes,0,30,E1,27.91,33.72,4.55,No,No,Male,Employee Referral,4,ETS,Chennai,29,0
2652,3706,2405454,Yes,39,30,E1,33.33,33.33,0.0,No,No,Male,Direct,6,ETS,Bangalore,29,0
2653,3707,2405557,No,1,30,E0,42.86,42.86,0.0,No,No,Female,Direct,0,INFRA,Noida,24,0
2655,3732,2405705,No,3,30,E3,39.24,39.24,0.0,No,No,Male,Employee Referral,8,INFRA,Noida,38,0
2656,3733,2405898,Yes,4,30,E2,22.22,16.67,-4.55,No,No,Male,Employee Referral,8,ETS,Bangalore,34,0
2657,3734,2406818,No,41,30,E2,50.68,30.14,-13.64,No,No,Female,Direct,7,BFSI,Bangalore,33,0
2660,3737,2406925,No,1,30,E2,18.64,15.82,-2.38,No,No,Male,Agency,6,ERS,Chennai,32,0
2662,3739,2407018,No,5,30,E1,78.57,85.71,4.0,No,No,Male,Direct,3,CSMP,Chennai,28,0
2663,3740,2407041,Yes,1,60,E1,76.47,67.65,-5.0,No,No,Female,Direct,4,CSMP,Chennai,27,0
2665,3743,2407213,Yes,15,30,E1,43.68,43.68,0.0,No,No,Male,Employee Referral,1,INFRA,Noida,25,0
2666,3744,2407222,No,6,45,E3,25.23,25.91,0.54,No,No,Male,Agency,11,INFRA,Chennai,40,0
2667,3745,2407224,Yes,69,75,E1,2.74,17.42,14.29,No,No,Male,Agency,3,ERS,Chennai,26,0
2668,3747,2407229,Yes,13,30,E2,38.89,38.89,0.0,No,No,Male,Direct,3,INFRA,Mumbai,30,0
2669,3748,2407235,Yes,36,30,E1,13.16,13.16,0.0,No,No,Male,Direct,3,CSMP,Chennai,26,0
2670,3749,2407243,Yes,4,30,E1,42.86,30.95,-8.33,No,No,Male,Direct,3,EAS,Noida,36,0
2671,3750,2407257,No,2,60,E2,30.0,28.46,-1.18,No,No,Male,Employee Referral,5,INFRA,Noida,32,0
2672,3751,2407271,Yes,31,30,E2,31.98,26.9,-3.85,No,No,Male,Direct,8,EAS,Bangalore,32,0
2673,3752,2407274,No,6,30,E1,50.0,33.33,-11.11,No,No,Male,Direct,5,ETS,Chennai,29,0
2674,3753,2407322,Yes,49,60,E1,44.44,44.44,0.0,No,No,Female,Employee Referral,2,ERS,Chennai,25,0
2675,3754,2407329,No,3,45,E2,43.75,37.5,-4.35,No,No,Male,Direct,6,INFRA,Noida,29,0
2676,3755,2407334,Yes,76,90,E2,28.59,28.59,0.0,No,No,Male,Agency,7,INFRA,Noida,31,0
2677,3756,2407338,Yes,4,30,E2,31.25,31.25,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,27,0
2678,3757,2407356,Yes,33,30,E1,23.08,0.0,-18.75,No,No,Female,Employee Referral,4,BFSI,Bangalore,37,0
2679,3758,2407385,No,1,30,E1,22.63,22.63,0.0,No,No,Male,Direct,2,INFRA,Ahmedabad,30,0
2680,3761,2407446,No,1,30,E1,18.42,13.16,-4.44,No,No,Female,Direct,3,CSMP,Chennai,31,0
2681,3763,2407554,Yes,13,30,E1,48.94,42.55,-4.29,No,No,Male,Direct,3,ETS,Noida,27,0
2682,3765,2407589,Yes,1,30,E1,-4.76,42.86,50.0,No,No,Male,Agency,2,INFRA,Gurgaon,27,0
2683,3766,2407595,No,5,30,E2,13.1,7.14,-5.26,No,No,Male,Agency,6,ERS,Gurgaon,32,0
2685,3768,2407676,Yes,4,90,E1,70.21,59.57,-6.25,No,No,Male,Direct,4,CSMP,Hyderabad,30,0
2687,3770,2407699,No,2,30,E1,44.0,100.0,38.89,No,No,Male,Direct,2,INFRA,Chennai,25,0
2688,3771,2407713,Yes,0,30,E1,120.0,80.0,-18.18,No,No,Male,Agency,3,ERS,Chennai,26,0
2689,3772,2407716,No,23,60,E1,31.25,21.88,-7.14,No,No,Male,Direct,2,ERS,Chennai,24,0
2690,3773,2407730,No,2,30,E1,53.85,38.46,-10.0,No,No,Male,Agency,3,ERS,Chennai,29,0
2691,3774,2407736,Yes,26,45,E1,83.33,45.0,-20.91,No,No,Male,Agency,3,ERS,Chennai,26,0
2692,3775,2407745,Yes,28,30,E1,45.83,62.5,11.43,No,No,Male,Agency,2,ERS,Chennai,25,0
2693,3776,2407768,No,2,45,E1,95.65,82.61,-6.67,No,No,Male,Direct,4,ERS,Chennai,26,0
2694,3777,2407770,No,2,30,E1,94.44,56.94,-19.29,No,No,Female,Agency,5,ERS,Chennai,28,0
2695,3778,2407795,No,30,30,E1,94.55,75.1,-10.0,No,No,Male,Agency,9,ERS,Chennai,34,0
2696,3779,2409901,Yes,104,90,E1,46.81,46.81,0.0,Yes,Yes,Male,Direct,2,CSMP,Noida,25,0
2697,3780,2410329,Yes,8,30,E2,18.42,18.42,0.0,No,No,Male,Agency,5,INFRA,Noida,30,0
2699,3782,2410347,Yes,23,30,E1,46.67,66.67,13.64,No,No,Male,Agency,2,INFRA,Noida,27,0
2701,3784,2410457,No,0,30,E2,90.48,66.67,-12.5,No,No,Male,Employee Referral,3,INFRA,Noida,25,0
2702,3785,2410458,No,56,60,E1,59.09,44.32,-9.29,No,No,Female,Direct,3,ETS,Chennai,27,0
2703,3786,2410475,No,3,30,E2,90.48,66.67,-12.5,No,No,Male,Employee Referral,3,INFRA,Noida,26,0
2704,3789,2411541,No,0,30,E1,59.09,77.27,11.43,No,No,Male,Direct,2,ERS,Noida,24,0
2705,3790,2411573,No,2,30,E1,33.33,120.0,65.0,No,No,Female,Direct,2,INFRA,Hyderabad,31,0
2707,3793,2416429,No,3,30,E1,66.67,38.89,-16.67,No,No,Male,Direct,3,ERS,Chennai,28,0
2708,3794,2416443,Yes,2,30,E1,33.33,33.33,0.0,No,No,Female,Agency,4,BFSI,Bangalore,34,0
2709,3796,2416487,No,1,30,E1,30.0,50.0,15.38,No,No,Male,Agency,3,BFSI,Bangalore,27,0
2710,3797,2416508,No,3,30,E1,26.19,26.19,0.0,No,No,Female,Agency,3,BFSI,Bangalore,31,0
2711,3799,2416515,No,14,30,E1,10.0,10.0,0.0,No,No,Male,Agency,3,BFSI,Bangalore,31,0
2712,3800,2416519,Yes,52,30,E1,28.57,28.57,0.0,No,No,Male,Agency,3,BFSI,Bangalore,22,0
2713,3801,2416531,No,1,30,E1,50.0,50.0,0.0,No,No,Female,Agency,3,BFSI,Bangalore,26,0
2714,3802,2416540,Yes,36,30,E1,40.63,40.63,0.0,No,No,Male,Agency,3,BFSI,Bangalore,29,0
2718,3806,2416578,No,1,30,E1,25.0,32.35,5.88,No,No,Male,Agency,3,BFSI,Bangalore,28,0
2719,3807,2416582,Yes,46,30,E1,32.26,15.32,-12.8,No,No,Male,Agency,4,BFSI,Bangalore,30,0
2720,3808,2416588,No,41,30,E1,45.45,27.27,-12.5,No,No,Female,Agency,5,BFSI,Bangalore,29,0
2722,3813,2416633,No,1,30,E1,50.0,32.27,-11.82,No,No,Male,Direct,1,INFRA,Noida,24,0
2723,3814,2416635,Yes,35,30,E1,5.08,1.69,-3.23,No,No,Female,Direct,4,BFSI,Bangalore,27,0
2724,3815,2416647,No,31,30,E1,10.0,19.05,8.23,No,No,Male,Direct,3,BFSI,Bangalore,26,0
2725,3817,2416655,Yes,46,30,E1,29.86,24.13,-4.41,No,No,Male,Direct,4,BFSI,Bangalore,28,0
2726,3818,2416660,No,61,45,E1,38.3,31.91,-4.62,No,No,Male,Agency,4,BFSI,Bangalore,28,0
2727,3819,2416664,No,61,60,E1,41.46,46.34,3.45,No,No,Male,Agency,3,BFSI,Bangalore,25,0
2728,3821,2416698,Yes,10,30,E1,20.0,16.36,-3.03,Yes,No,Male,Agency,4,AXON,Bangalore,32,0
2729,3822,2416706,Yes,3,30,E2,42.86,42.86,0.0,No,No,Male,Agency,4,INFRA,Noida,29,0
2732,3825,2416728,No,4,30,E1,50.0,50.0,0.0,No,No,Male,Agency,4,INFRA,Noida,23,0
2733,3826,2416729,No,7,30,E2,7.14,7.14,0.0,No,No,Male,Direct,8,BFSI,Chennai,34,0
2734,3827,2416745,No,3,30,E1,20.0,10.0,-8.33,No,No,Male,Agency,3,INFRA,Chennai,27,0
2735,3828,2416751,No,2,0,E1,69.64,60.71,-5.26,No,No,Male,Employee Referral,4,ERS,Noida,28,0
2736,3829,2416753,Yes,95,30,E1,22.55,16.83,-4.67,No,No,Male,Direct,3,BFSI,Bangalore,29,0
2737,3831,2416778,No,0,30,E1,56.25,56.25,0.0,No,No,Male,Employee Referral,3,BFSI,Mumbai,26,0
2738,3833,2416791,No,0,60,E1,25.0,-2.5,-22.0,No,No,Male,Agency,1,INFRA,Chennai,24,0
2739,3834,2416810,Yes,7,30,E1,25.0,25.0,0.0,No,No,Male,Direct,3,ETS,Bangalore,31,0
2741,3836,2416834,No,10,30,E1,10.0,28.21,16.55,No,No,Male,Direct,3,BFSI,Bangalore,28,0
2742,3837,2416837,No,0,30,E1,15.14,35.14,17.37,No,No,Male,Direct,4,BFSI,Bangalore,25,0
2743,3838,2416851,No,1,30,E1,51.52,32.42,-12.6,No,No,Male,Direct,4,ERS,Noida,34,0
2745,3841,2416877,Yes,1,30,E1,2.56,-1.28,-3.75,No,No,Male,Direct,5,BFSI,Bangalore,32,0
2746,3843,2416902,Yes,48,30,E2,9.41,9.41,0.0,No,No,Female,Agency,7,ERS,Chennai,33,0
2747,3844,2416903,No,72,30,E1,28.38,28.38,0.0,No,No,Male,Direct,3,BFSI,Chennai,27,0
2748,3845,2416911,Yes,59,60,E1,84.62,38.46,-25.0,No,No,Male,Agency,3,AXON,Chennai,27,0
2749,3846,2416925,Yes,1,30,E1,110.53,78.95,-15.0,No,No,Male,Direct,2,CSMP,Noida,27,0
2752,3849,2417010,Yes,97,90,E1,33.33,33.33,0.0,No,No,Male,Agency,3,BFSI,Bangalore,25,0
2755,3852,2417026,No,29,30,E1,39.76,26.51,-9.48,No,No,Male,Direct,3,ERS,Chennai,28,0
2757,3855,2417078,No,2,30,E2,38.55,32.53,-4.35,No,No,Male,Agency,8,ERS,Bangalore,33,0
2758,3856,2417080,No,69,90,E1,42.86,42.86,0.0,No,No,Male,Agency,3,BFSI,Bangalore,26,0
2759,3857,2417085,No,2,30,E1,31.58,31.58,0.0,No,No,Male,Direct,3,BFSI,Bangalore,28,0
2761,3859,2417106,Yes,43,30,E1,42.86,42.86,0.0,No,No,Male,Agency,4,BFSI,Bangalore,27,0
2764,3863,2417213,Yes,25,90,E3,30.36,30.36,0.0,No,Yes,Male,Employee Referral,8,INFRA,Noida,32,0
2766,3867,2418062,Yes,36,30,E1,14.29,-1.43,-13.75,No,No,Male,Employee Referral,2,ERS,Hyderabad,25,0
2767,3868,2418203,Yes,62,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,33,0
2768,3870,2419174,Yes,34,30,E1,60.71,46.43,-8.89,No,No,Male,Direct,2,CSMP,Noida,25,0
2770,3873,2419677,No,0,30,E1,30.21,134.38,80.0,No,No,Male,Agency,3,BFSI,Bangalore,29,0
2771,3874,2419690,No,3,30,E1,73.91,52.17,-12.5,No,No,Male,Agency,3,BFSI,Bangalore,35,0
2773,3876,2419703,Yes,13,30,E1,6.52,8.7,2.04,No,No,Male,Agency,3,BFSI,Bangalore,28,0
2774,3877,2419719,Yes,10,30,E1,86.89,86.89,0.0,No,No,Male,Direct,6,INFRA,Others,35,0
2775,3878,2419722,Yes,110,90,E1,16.28,27.91,10.0,No,No,Female,Agency,3,BFSI,Bangalore,25,0
2776,3879,2419728,No,0,30,E1,2.56,15.38,12.5,No,No,Female,Agency,3,BFSI,Bangalore,28,0
2778,3881,2419741,Yes,1,60,E3,30.95,22.02,-6.82,No,No,Male,Employee Referral,14,EAS,Chennai,41,0
2779,3882,2419743,Yes,53,30,E1,55.56,55.56,0.0,No,No,Female,Direct,5,BFSI,Bangalore,35,0
2780,3883,2419747,No,0,30,E1,37.61,37.61,0.0,No,No,Male,Direct,2,CSMP,Noida,27,0
2781,3884,2419755,Yes,40,30,E2,9.2,-13.79,-21.05,No,No,Male,Direct,10,ERS,Chennai,35,0
2782,3885,2419809,No,1,30,E1,75.0,70.0,-2.86,No,No,Male,Direct,3,ETS,Noida,27,0
2783,3886,2419816,Yes,27,60,E1,58.33,58.33,0.0,No,No,Male,Direct,2,ERS,Chennai,25,0
2784,3887,2419829,Yes,56,30,E1,28.89,31.11,1.72,No,No,Male,Direct,3,EAS,Chennai,29,0
2785,3888,2419872,Yes,43,30,E2,25.71,13.14,-10.0,No,No,Male,Agency,6,BFSI,Bangalore,38,0
2786,3889,2419899,Yes,125,90,E1,34.92,22.22,-9.41,No,No,Female,Agency,5,BFSI,Bangalore,28,0
2787,3890,2419903,No,28,30,E1,42.86,65.71,16.0,No,No,Male,Direct,4,ETS,Chennai,26,0
2788,3891,2419904,Yes,69,30,E1,50.0,50.0,0.0,No,No,Male,Agency,4,BFSI,Bangalore,29,0
2789,3892,2419915,No,0,30,E1,14.29,20.29,5.25,No,No,Male,Agency,2,INFRA,Noida,28,0
2790,3893,2419919,Yes,20,30,E1,6.48,6.48,0.0,No,No,Male,Direct,5,INFRA,Others,31,0
2792,3895,2419938,Yes,51,60,E1,69.49,69.49,0.0,No,No,Male,Agency,3,ETS,Chennai,25,0
2793,3896,2419962,Yes,32,30,E1,20.0,5.0,-12.5,No,No,Female,Agency,3,ERS,Chennai,29,0
2794,3898,2419989,No,3,30,E1,22.22,0.0,-18.18,No,No,Male,Direct,4,BFSI,Chennai,31,0
2795,3899,2420000,Yes,10,30,E1,62.04,85.19,14.29,No,No,Male,Agency,3,ERS,Bangalore,27,0
2797,3902,2420020,No,0,60,E1,31.09,31.09,0.0,No,No,Male,Agency,4,BFSI,Bangalore,30,0
2802,3908,2420071,Yes,11,30,E1,75.0,6.25,-39.29,No,No,Male,Agency,3,ERS,Hyderabad,29,0
2803,3909,2420074,No,62,60,E1,75.0,30.0,-25.71,No,No,Male,Agency,4,ERS,Hyderabad,29,0
2804,3910,2420077,Yes,42,30,E1,62.5,54.75,-4.77,No,No,Male,Agency,3,ERS,Bangalore,28,0
2805,3911,2420101,No,2,30,E1,10.0,10.0,0.0,No,No,Female,Direct,3,INFRA,Chennai,24,0
2806,3912,2420104,No,3,30,E1,39.77,39.77,0.0,No,No,Male,Direct,3,INFRA,Chennai,27,0
2807,3913,2420105,Yes,7,30,E2,30.0,30.0,0.0,No,No,Male,Direct,8,INFRA,Noida,30,0
2808,3914,2420121,No,3,30,E2,114.28,185.71,33.33,No,No,Male,Agency,6,INFRA,Noida,28,0
2809,3915,2420138,No,1,30,E3,15.38,15.38,0.0,No,No,Male,Direct,6,INFRA,Chennai,36,0
2810,3916,2420160,Yes,15,45,E3,15.38,15.38,0.0,No,No,Male,Direct,16,ERS,Chennai,39,0
2812,3918,2420164,No,1,30,E1,17.65,17.65,0.0,No,No,Male,Agency,3,BFSI,Chennai,26,0
2813,3919,2420167,No,23,30,E1,39.39,18.18,-15.22,No,No,Male,Agency,3,BFSI,Chennai,27,0
2816,3924,2420200,No,7,90,E3,22.34,38.3,13.04,No,No,Male,Direct,6,INFRA,Noida,30,0
2817,3926,2420216,No,3,30,E2,28.57,37.14,6.67,No,No,Male,Direct,6,INFRA,Chennai,29,0
2818,3928,2420218,Yes,69,45,E2,23.81,19.05,-3.85,No,No,Male,Agency,7,EAS,Hyderabad,29,0
2819,3929,2420220,Yes,71,90,E2,54.41,35.29,-12.38,No,Yes,Male,Direct,5,INFRA,Noida,32,0
2820,3930,2420226,Yes,5,30,E1,66.67,7.14,-35.71,No,No,Male,Direct,3,ERS,Chennai,26,0
2825,3939,2420306,Yes,4,60,E1,23.26,23.26,0.0,No,No,Male,Direct,3,CSMP,Chennai,29,0
2827,3941,2420313,No,10,60,E2,37.36,46.52,6.67,No,No,Female,Employee Referral,4,INFRA,Hyderabad,29,0
2828,3942,2420315,No,59,60,E1,81.82,45.45,-20.0,Yes,Yes,Male,Direct,3,ERS,Chennai,26,0
2829,3943,2420317,Yes,19,60,E1,30.0,30.0,0.0,No,No,Female,Agency,3,ETS,Chennai,26,0
2831,3945,2420348,Yes,96,90,E1,48.65,48.65,0.0,No,No,Male,Direct,3,BFSI,Bangalore,28,0
2833,3947,2420353,Yes,7,30,E2,46.67,46.67,0.0,No,No,Male,Agency,8,ETS,Chennai,32,0
